tweet_id,favorites,retweets
892420643555336193,37578,8197
892177421306343426,32307,6060
891815181378084864,24348,4009
891689557279858688,40930,8349
891327558926688256,39124,9048
891087950875897856,19677,3001
890971913173991426,11501,1985
890729181411237888,63422,18210
890609185150312448,27054,4122
890240255349198849,30999,7118
890006608113172480,29812,7078
889880896479866881,27027,4809
889665388333682689,46735,9692
889638837579907072,26351,4377
889531135344209921,14693,2173
889278841981685760,24536,5197
888917238123831296,28303,4346
888804989199671297,24833,4132
888554962724278272,19271,3414
888078434458587136,21147,3363
887705289381826560,29360,5192
887517139158093824,44994,11299
887473957103951883,66991,17533
887343217045368832,32722,10067
887101392804085760,29716,5753
886983233522544640,34128,7498
886736880519319552,11702,3152
886680336477933568,21809,4312
886366144734445568,20579,3089
886267009285017600,116,4
886258384151887873,27217,6091
886054160059072513,0,105
885984800019947520,31683,6549
885528943205470208,34965,6213
885518971528720385,19877,3620
885311592912609280,0,17917
885167619883638784,21287,4235
884925521741709313,75100,17615
884876753390489601,27108,5427
884562892145688576,23608,4526
884441805382717440,26249,5478
884247878851493888,70847,19830
884162670584377345,19792,2882
883838122936631299,21271,3331
883482846933004288,44609,9592
883360690899218434,22043,3586
883117836046086144,36114,6443
882992080364220416,23260,3793
882762694511734784,27502,4730
882627270321602560,27159,5888
882268110199369728,43655,11213
882045870035918850,28522,4792
881906580714921986,23635,3286
881666595344535552,49186,10335
881633300179243008,124,7
881536004380872706,48050,15442
881268444196462592,22482,5022
880935762899988482,16577,2697
880872448815771648,20676,3701
880465832366813184,27727,6071
880221127280381952,26279,4080
880095782870896641,26853,4202
879862464715927552,21731,3383
879674319642796034,302,10
879492040517615616,22791,3077
879415818425184262,102916,42871
879376492567855104,16352,3015
879130579576475649,0,6593
879050749262655488,21915,4554
879008229531029506,18462,2612
878776093423087618,18885,3999
878604707211726852,29383,6971
878404777348136964,0,1247
878316110768087041,0,6441
878281511006478336,7525,1247
878057613040115712,40923,6593
877736472329191424,77493,18495
877611172832227328,0,78
877556246731214848,22127,3687
877316821321428993,26668,5041
877201837425926144,26406,5420
876838120628539392,20139,3238
876537666061221889,22934,4505
876484053909872640,18271,2319
876120275196170240,27214,4542
875747767867523072,24529,4162
875144289856114688,21369,4799
875097192612077568,26695,5891
875021211251597312,24831,4595
874680097055178752,27125,4518
874434818259525634,0,14304
874296783580663808,25411,3999
874057562936811520,22139,3849
874012996292530176,33656,10131
873580283840344065,23618,3837
873337748698140672,0,1546
873213775632977920,7054,1546
872967104147763200,26667,5279
872820683541237760,14378,3612
872620804844003328,20292,3603
872486979161796608,39762,8816
872122724285648897,33594,7951
871879754684805121,37062,10904
871762521631449091,19829,3408
871515927908634625,19761,3385
871166179821445120,0,5576
871102520638267392,20492,5403
871032628920680449,22204,3742
870804317367881728,32941,6078
870726314365509632,116,3
870656317836468226,12148,2596
870374049280663552,81121,25774
870308999962521604,21430,4082
870063196459192321,35926,8197
869772420881756160,41656,9872
869702957897576449,27733,6245
869596645499047938,15707,3087
869227993411051520,20113,3741
868880397819494401,64454,14274
868639477480148993,0,2057
868622495443632128,26279,5226
868552278524837888,9963,2057
867900495410671616,23818,4126
867774946302451713,33457,7263
867421006826221569,15885,2470
867072653475098625,0,119
867051520902168576,31779,7783
866720684873056260,19795,4766
866686824827068416,19018,3448
866450705531457537,120649,35002
866334964761202691,51842,14304
866094527597207552,0,8295
865718153858494464,25322,5577
865359393868664832,26155,4971
865006731092295680,27692,7638
864873206498414592,31918,8662
864279568663928832,14459,3006
864197398364647424,29807,8885
863907417377173506,20414,4120
863553081350529029,15162,4165
863471782782697472,0,2434
863432100342583297,23596,5218
863427515083354112,2229,96
863079547188785154,8690,1098
863062471531167744,8430,2434
862831371563274240,19011,5099
862722525377298433,16930,3519
862457590147678208,20344,4951
862096992088072192,73846,23235
861383897657036800,35888,10699
861288531465048066,17073,4161
861005113778896900,16601,3801
860981674716409858,0,2166
860924035999428608,0,818
860563773140209665,7466,2166
860524505164394496,23502,5296
860276583193509888,18237,3485
860184849394610176,16607,5875
860177593139703809,0,30992
859924526012018688,19482,4100
859851578198683649,15362,3529
859607811541651456,18535,1580
859196978902773760,89598,30373
859074603037188101,33799,13706
858860390427611136,0,8192
858843525470990336,15530,3511
858471635011153920,21497,4872
858107933456039936,15710,2922
857989990357356544,16124,2607
857746408056729600,34257,10747
857393404942143489,5904,1661
857263160327368704,20043,4563
857214891891077121,228,18
857062103051644929,0,173
857029823797047296,18960,4057
856543823941562368,16302,2924
856526610513747968,11869,1912
856330835276025856,0,686
856288084350160898,522,17
856282028240666624,27829,6429
855862651834028034,346,26
855860136149123072,5034,1044
855857698524602368,11921,2147
855851453814013952,45748,18054
855818117272018944,26755,5539
855459453768019968,30076,8361
855245323840757760,0,6096
855138241867124737,0,46
854732716440526848,23014,6235
854482394044301312,29556,7023
854365224396361728,19061,4795
854120357044912130,32289,7659
854010172552949760,16348,3225
